id	anon_author_id	label	AID1	AID2	AID3
1338326350860529664	a373c0	abusive	abusive		
1301185102509150208	4b6358	not	not		
1229328927870640128	daf8a7	not	not		
1249374539982782480	57df4d	not	not		
1321824606525759488	2278a4	not		not	
1350782890506911746	e77421	not	not		
1335674545324371969	4c582f	not	not		
1303941171903967233	d5c100	not	not		
1275831801899028482	c0e704	abusive	abusive		
1321491963493912577	cc62d3	not	not		
1238124693623693313	0ad4a2	not	not		
1329468845912952832	569459	not	not		
1263834296395104256	c474c0	not		not	
1236366778969862144	927271	not	not		
1246855279519678464	142e89	not	not		
1331883540485693441	dd38d4	not	not		
1287345501134884864	cd0ab1	not	not		
1299747959207231489	527f2b	not		not	
1355047308845588480	f58a79	abusive	abusive		
1301415575118381056	252533	abusive	abusive		
1248720117707522058	202dc5	not	not		
1294273625873424386	4b6358	not	not		
1347824812392112129	239b0e	not	not		
1339543196053991424	cd3b88	not	not		
1229021187239481346	66fd1e	not	not		
1306546345092812800	185905	not	not		
1284441012237197312	291db3	not	not		
1349251430964670464	35aced	abusive	abusive		
1328038734919561217	b5026f	not	not		
1324680100412067840	2eeb60	not	not		
1314827333384261632	baba78	not			not
1342953819337089031	41ebec	not	not	not	not
1312073886750642176	5b9acf	not	not		
1335415076136902657	52709a	abusive	abusive		
1262723405498978310	b62db3	not	not		
1351814998138482689	ed8152	not	not		
1320762627853832192	16c418	abusive		abusive	
1331679774318727168	b75611	not		not	
1303997767501701131	789758	not	not		
1300017729278181377	70432e	abusive	abusive		
1303661914115973121	03e5dc	abusive	abusive		
1269032810565820419	c46ed4	abusive			abusive
1301510709793230848	f51228	abusive	abusive		
1282634446756290560	be18b9	not	not		
1326435116659449857	158067	not	not		
1300004293119016960	45775a	not	not		
1314289657975369734	95ef54	not	not	not	not
1306258890540154882	88be9a	not			not
1363107539320209412	575433	not	not		
1356932171987050497	6bf4f8	not			not
1344206606679085056	fb8f84	not		not	
1350824734016098309	25754f	abusive	indifferent	abusive	abusive
1312704346858151938	6a6e15	not	not		
1337844610857639942	d96457	not	not		
1335362524640911361	668040	not	not		
1350126561622708226	1efa68	not	not		
1319707161187016707	94f7bd	not	not		
1328081537628336134	8ad20b	not	not		
1335185986624626688	ad1764	not		not	
1326257601093521409	5e9ccc	abusive	abusive		
1263610638716342274	4f6da5	not	not		
1309591409348038656	cc951f	not	not		
1326153798851686412	6498ba	not	not		
1318235009858363392	a03839	not	not		
1299419702477942784	5450b3	not		not	
1334218747289198592	ad7489	abusive	abusive		
1321046785465425921	c331cc	abusive	abusive		
1359637808634343428	434132	not		not	
1259075132955471872	72e55e	not	not		
1336037098000887809	73d339	not	not		
1259514564082831362	c584df	not	not		
1347160902441857024	1f01cd	not	not		
1238906865041526784	2ace5f	abusive	abusive		
1320123134884839426	a344bc	not	not	not	not
1309821612645142528	88be9a	not	not		
1268123306982506497	5eedd0	not	not		
1255203526634078214	0d08ab	abusive	abusive		
1350072821062524930	f3113f	not	not		
1252318883660390400	3fd23a	not	not		
1326129248231432192	2c9b57	not			not
1289177111534555137	427a1e	not	not		
1320301745663315969	ed03b9	not	not		
1221191037026209794	a654b8	not	not		
1240769386673307649	7ea249	not	not		
1360225959811686407	3ff0c8	not	not		
1292502415045005314	05c1ab	not	not		
1259445512853479427	c0e3c6	not	not		
1265268004905988101	24feff	abusive	abusive		
1326173646038183936	9f077d	not	not		
1342775196269350912	b44c4e	not	not		
1294613604797472769	1844b6	not		not	
1344018893745115140	3b7dde	not			not
1330903747569061888	1ddd2f	not	not		
1325761486933929984	b3acc1	not		not	
1301116677111906311	25c78e	not	not		
1232685436834844674	78b808	not		not	
1353784520739352588	e8c882	not	not		
1295719821569601536	08f0c9	not	not		
1320646644388581376	e16bc4	not	not		
1332008877739700224	57df4d	not		not	
1259837947383287808	16e89e	not	not	not	not
1323642297976819713	3608f2	abusive		abusive	
1254373034779123712	3f4661	abusive	abusive		
1315503906202554368	8ec638	not	not		
1330577124563034112	7678f8	abusive	abusive		
1344598456002879494	37a050	not		not	
1238363493809741824	d2e64f	not	not		
1362304325347868674	eec76d	not			not
1300801700605890561	b0d3bb	not		not	
